RoomID,X,Y
5317-1,510,219
5317-2,552,217
5317-3,592,220
5317-4,506,245
5317-6,595,245
5317-7,510,268
5317-8,552,271
5317-9,594,271
5318-1,419,261
5318-2,447,261
5318-3,474,262
5318-4,419,280
5318-5,445,283
5318-6,474,283
5318-7,421,299
5318-8,447,299
5318-9,472,297
5312-1,422,162
5312-2,445,163
5312-3,472,160
5312-4,421,184
5312-5,446,187
5312-6,475,185
5312-7,419,204
5312-8,450,204
5312-9,473,205
5315-1,508,161
5315-2,550,159
5315-3,592,159
5315-4,506,185
5315-5,548,185
5315-6,594,185
5315-7,508,206
5315-8,552,206
5315-9,592,207
hallway-1,500,386
hallway-2,481,386
hallway-3,499,335
hallway-4,480,334
hallway-5,498,282
hallway-6,480,264
hallway-7,499,231
hallway-8,480,227
hallway-9,498,208
hallway-10,482,208
